"Season","DayNum","WTeamID","WScore","LTeamID","LScore","WLoc","NumOT","WFGM","WFGA","WFGM3","WFGA3","WFTM","WFTA","WOR","WDR","WAst","WTO","WStl","WBlk","WPF","LFGM","LFGA","LFGM3","LFGA3","LFTM","LFTA","LOR","LDR","LAst","LTO","LStl","LBlk","LPF","TourneyRound","WTeamName","LTeamName","WSeed_num","WRegion","LSeed_num","LRegion","WConf","LConf"
2003,134,1421,92,1411,84,"N",1,32,69,11,29,17,26,14,30,17,12,5,3,22,29,67,12,31,14,31,17,28,16,15,5,0,22,"Play-In","UNC Asheville","TX Southern",16,"Midwest",16,"Midwest","Big South Conference","Southwest Athletic Conference"
2003,136,1112,80,1436,51,"N",0,31,66,7,23,11,14,11,36,22,16,10,7,8,20,64,4,16,7,7,8,26,12,17,10,3,15,"Round of 64","Arizona","Vermont",1,"West",16,"West","Pacific-10 Conference","America East Conference"
2003,136,1113,84,1272,71,"N",0,31,59,6,14,16,22,10,27,18,9,7,4,19,25,69,7,28,14,21,20,22,11,12,2,5,18,"Round of 64","Arizona St","Memphis",10,"West",7,"West","Pacific-10 Conference","Conference USA"
2003,136,1141,79,1166,73,"N",0,29,53,3,7,18,25,11,20,15,18,13,1,19,27,60,7,17,12,17,14,17,20,21,6,6,21,"Round of 64","C Michigan","Creighton",11,"West",6,"West","Mid-American Conference","Missouri Valley Conference"
2003,136,1143,76,1301,74,"N",1,27,64,7,20,15,23,18,20,17,13,8,2,14,25,56,9,21,15,20,10,26,16,14,5,8,19,"Round of 64","California","NC State",8,"East",9,"East","Pacific-10 Conference","Atlantic Coast Conference"
2003,136,1163,58,1140,53,"N",0,17,52,4,14,20,27,12,29,8,14,3,8,16,20,64,2,17,11,13,15,26,11,11,8,4,22,"Round of 64","Connecticut","BYU",5,"Midwest",12,"Midwest","Big East Conference","Mountain West Conference"
2003,136,1181,67,1161,57,"N",0,19,54,4,13,25,31,13,27,4,16,10,8,23,18,54,3,11,18,22,11,24,8,19,5,4,19,"Round of 64","Duke","Colorado St",3,"West",14,"West","Atlantic Coast Conference","Mountain West Conference"
2003,136,1211,74,1153,69,"N",0,20,47,6,14,28,37,8,28,12,12,2,2,15,26,66,10,27,7,10,13,22,13,10,7,6,24,"Round of 64","Gonzaga","Cincinnati",9,"West",8,"West","West Coast Conference","Conference USA"
2003,136,1228,65,1443,60,"N",0,24,56,5,14,12,14,15,23,15,14,11,4,14,22,58,8,24,8,13,17,18,10,14,6,5,16,"Round of 64","Illinois","WKU",4,"West",13,"West","Big Ten Conference","Sun Belt Conference"
2003,136,1242,64,1429,61,"N",0,28,51,2,6,6,11,7,20,13,11,8,4,17,23,56,6,17,9,10,13,19,13,13,6,1,15,"Round of 64","Kansas","Utah St",2,"West",15,"West","Big 12 Conference","Big West Conference"
2003,136,1266,72,1221,68,"N",0,22,51,9,16,19,23,11,20,14,10,4,3,23,24,54,5,15,15,25,14,20,14,9,4,1,20,"Round of 64","Marquette","Holy Cross",3,"South",14,"South","Conference USA","Patriot League"
2003,136,1281,72,1356,71,"N",0,28,52,5,13,11,18,9,32,7,23,4,6,19,26,65,8,19,11,21,11,18,19,13,6,0,19,"Round of 64","Missouri","S Illinois",6,"South",11,"South","Big 12 Conference","Missouri Valley Conference"
2003,136,1323,70,1454,69,"N",0,23,54,3,13,21,25,11,33,7,20,6,6,19,23,66,8,23,15,20,14,23,15,12,11,3,25,"Round of 64","Notre Dame","WI Milwaukee",5,"West",12,"West","Big East Conference","Horizon League"
2003,136,1328,71,1354,54,"N",0,24,52,10,18,13,24,11,24,16,14,8,3,12,21,52,6,20,6,8,7,22,8,18,7,2,23,"Round of 64","Oklahoma","S Carolina St",1,"East",16,"East","Big 12 Conference","Mid-Eastern Athletic Conference"
2003,136,1390,77,1360,69,"N",0,29,64,8,24,11,15,12,29,16,14,4,8,24,20,61,4,18,25,32,17,25,7,11,3,0,18,"Round of 64","Stanford","San Diego",4,"Midwest",13,"Midwest","Pacific-10 Conference","West Coast Conference"
2003,136,1409,84,1173,71,"N",0,33,57,8,12,10,13,8,26,18,12,6,1,11,28,66,9,28,6,9,12,16,11,11,3,3,19,"Round of 64","Tulsa","Dayton",13,"South",4,"South","Western Athletic Conference","Atlantic 10 Conference"
2003,136,1458,81,1451,74,"N",0,31,58,6,16,13,22,10,24,16,9,7,2,16,29,71,7,24,9,15,22,21,9,10,4,0,20,"Round of 64","Wisconsin","Weber St",5,"South",12,"South","Big Ten Conference","Big Sky Conference"
